Salutation,Fullname,State/Electorate
Ms,Mary Doyle,Aston
Ms,Catherine King,Ballarat
Mr,Jerome Laxale,Bennelong
Mr,Julian Leeser,Berowra
Mr,Shayne Neumann,Blair
Mr,Jason Clare,Blaxland
Ms,Louise Miller-Frost,Boothby
Ms,Anne Urquhart,Braddon
Ms,Madeleine King,Brand
Ms,Madonna Jarrett,Brisbane
Ms,Alicia Payne,Canberra
Ms,Michelle Landry,Capricornia
Ms,Gerardine Kearney,Cooper
Ms,Elizabeth Coker,Corangamite
Mr,Richard Marles,Corio
Dr,Anne Aly,Cowan
Ms,Alison Byrnes,Cunningham
Ms,Kate Chaney,Curtin
Ms,Allison France,Dickson
Ms,Emma McBride,Dobell
Ms,Jodie Belyea,Dunkley
Ms,Melissa Price,Durack
Ms,Kristy McBain,Eden-Monaro
Mr,Cameron Caldwell,Fadden
Ms,Sussan Ley,Farrer
Dr,Andrew Leigh,Fenner
Ms,Zoe McKenzie,Flinders
Ms,Dai Le,Fowler
Ms,Julie Collins,Franklin
Mrs,Fiona Phillips,Gilmore
Ms,Marion Alice Jordan-Baird,Gorton
Prime Minister,Anthony Albanese,Grayndler
Ms,Michelle Rowland,Greenway
Ms,Renee Coffey,Griffith
Ms,Tania Lawrence,Hasluck
Mr,Sam Rae,Hawke
Ms,Clare O'Neil,Hotham
Dr,Helen Haines,Indi
Mr,Mark Dreyfus,Isaacs
Hon,Kate Thwaites,Jagajaga
Mr,Robert Katter,Kennedy
Ms,Amanda Rishworth,Kingston
Dr,Monique Ryan,Kooyong
Dr,Joanne Ryan,Lalor
The Hon,Anika Wells,Lilley
Mrs,Melissa McIntosh,Lindsay
Ms,Marion Scrymgour,Lingiari
Ms,Alison Penfold,Lyne
Ms,Rebecca White,Lyons
Dr,Michael Freelander,Macarthur
Dr,Sophie Scamps,Mackellar
Ms,Susan Templeman,Macquarie
Ms,Joanna Briskey,Maribyrnong
Ms,Rebekha Sharkie,Mayo
Ms,Angie Bell,Moncrieff
Ms,Julie-Ann Campbell,Moreton
Ms,Sharon Claydon,Newcastle
Mr,Sam Birrell,Nicholls
Senator,Maria Kovacic,NSW
Ms,Tracey Roberts,Pearce
Dr,James Chalmers,Rankin
Ms,Sally Sitou,Reid
Dr,Gordon Reid,Robertson
Ms,Elizabeth Watson-Brown,Ryan
Ms,Claire Clutterham,Sturt
Ms,Zaneta Mascarenhas,Swan
Ms,Tanya Plibersek,Sydney
Mr,Sam Lim,Tangney
Senator,Richard Colbeck,TAS
Ms,Zali Steggall,Warringah
Ms,Allegra Spender,Wentworth
Ms,Anne Stanley,Werriwa
Ms,Carol Berry,Whitlam
Mr,Aaron Violi,Casey
Senator,Alexander Antic,SA
Mr,Alexander Hawke,Mitchell
Senator,Andrew Bragg,NSW
Dr,Andrew Charlton,Parramatta
Mr,Andrew Gee,Calare
Mr,Andrew Giles,Scullin
Mr,Andrew Hastie,Canning
Senator,Andrew McLachlan,SA
Mr,Andrew Wallace,Fisher
Mr,Andrew Wilkie,Clark
Mr,Andrew Willcox,Dawson
Mr,Angus Taylor,Hume
Senator,Anne Ruston,SA
Dr,Anne Webster,Mallee
Mr,Anthony Burke,Watson
Senator,Anthony Chisholm,QLD
Senator,Anthony Sheldon,NSW
Mr,Antonio Zappia,Makin
Mr,Antony Pasin,Barker
Ms,Ash Ambihaipahar,Barton
Senator,Barbara Pocock,SA
Mr,Barnaby Joyce,New England
Mr,Basem Abdo,Calwell
Mr,Benjamin Small,Forrest
Ms,Bernadette Degabriele,Violet
Senator,Bridget McKenzie,VIC
Dr,Carina Garland,Chisholm
Ms,Kate Carnell,Violet
Senator,Carol Brown,TAS
Ms,Cassandra Fernando,Holt
Senator,Charlotte Walker,SA
Mr,Christopher Bowen,McMahon
Senator,Claire Chandler,TAS
Mr,Colin Boyce,Flynn
Senator,Corinne Mulholland,QLD
Dr,Daniel Mulino,Fraser
Mr,Daniel Repacholi,Hunter
Mr,Daniel Tehan,Wannon
Mr,Darren Chester,Gippsland
Mr,David Batt,Hinkler
Mr,David Littleproud,Maranoa
Mr,David Moncrieff,Hughes
Senator,David Pocock,ACT
Senator,David Shoebridge,NSW
Mr,David Smith,Bean
Senator,Dean Smith,WA
Senator,Deborah O'Neill,NSW
Senator,Devanand Sharma,NSW
Senator,Donald Farrell,SA
Ms,Donna Ward,Violet
Senator,Dorinda Cox,WA
Mr,Duane Attree,Violet
Mr,Dugald Dick,Oxley
Mr,Edham Husic,Chifley
Mr,Edward O'Brien,Fairfax
Senator,Ellie Whiteaker,WA
Ms,Emma Comer,Petrie
Senator,Fatima Payman,WA
Mr,Gabriel Ng,Menzies
Mr,Garth Hamilton,Groom
Ms,Georgia de Mestre,Premier National
Senator,Glenn Sterle,WA
Senator,Helen Polley,TAS
Mr,Henry Pike,Bowman
Pr.,Imogen Mitchell,Violet
Senator,Jacinta Nampijinpa Price,NT
Senator,Jacqui Lambie,TAS
Senator,James McGrath,QLD
Senator,James Paterson,VIC
Mr,Jamie Chaffey,Parkes
Senator,Jana Stewart,VIC
Senator,Jane Hume,VIC
Mr,Jason Wood,La Trobe
Senator,Jennifer McAllister,NSW
Senator,Jess Walsh,VIC
Senator,Jessica Collins,NSW
Ms,Jessica Teesdale,Bass
Senator,Jonathon Duniam,TAS
Senator,Jordon Steele-John,WA
Mr,Josh Burns,Macnamara
Senator,Josh Dolega,TAS
Mr,Joshua Wilson,Fremantle
Mr,Julian Hill,Bruce
Ms,Kara Cook,Bonner
Senator,Karen Grogan,SA
Ms,Kathryn Conroy,Premier National
Senator,Katy Gallagher,ACT
Ms,Kerry Milligan,Violet Ambassador
Senator,Kerrynne Liddle,SA
Mr,Kevin Hogan,Page
Senator,Larissa Waters,QLD
Senator,Leah Blyth,SA
Mr,Leon Rebello,McPherson
Senator,Lidia Thorpe,VIC
Ms,Lisa Chesters,Bendigo
Senator,Lisa Darmanin,VIC
Mr,Llewellyn O'Brien,Wide Bay
Mr,Luke Gosling,Solomon
Senator,Malarndirri McCarthy,NT
Senator,Malcolm Roberts,QLD
Mrs,Maria Elliot,Richmond
Senator,Marielle Smith,SA
Mr,Mark Butler,Hindmarsh
Ms,Mary Aldred,Monash
Mr,Matt Burnell,Spence
Mr,Matt Keogh,Burt
Senator,Matthew Canavan,QLD
Mr,Matthew Gregg,Deakin
Senator,Matthew O'Sullivan,WA
Mr,Matthew Smith,Leichhardt
Mr,Matthew Thistlethwaite,Kingsford Smith
Senator,Mehreen Faruqi,NSW
Ms,Melissa Reader,Violet
Ms,Meryl Swanson,Paterson
Mr,Michael McCormack,Riverina
Senator,Michaelia Cash,WA
Senator,Michelle Ananda-Rajah,VIC
Senator,Murray Watt,QLD
Senator,Nicholas McKim,TAS
Ms,Nicolette Boele,Bradfield
Senator,Nita Green,QLD
Ms,Patricia Cook,Bullwinkel
Mr,Patrick Conaghan,Cowper
Mr,Patrick Conroy,Shortland
Mr,Patrick Gorman,Perth
Senator,Paul Scarr,QLD
Senator,Pauline Hanson,QLD
Senator,Penny Allman-Payne,QLD
Senator,Penny Wong,SA
Mr,Peter Khalil,Wills
Senator,Peter Whish-Wilson,TAS
Mr,Phillip Thompson,Herbert
Senator,Raffaele Ciccone,VIC
Senator,Ralph Babet,VIC
Senator,Richard Dowling,TAS
Mr,Richard Wilson,O'Connor
Mr,Robert Mitchell,McEwen
Senator,Ross Cadell,NSW
Mr,Rowan Holzberger,Forde
Senator,Sarah Hanson-Young,SA
Senator,Sarah Henderson,VIC
Ms,Sarah Macdonald,Violet Ambassador
Ms,Sarah Tyquin,Sam Rae office
Ms,Sarah Witty,Melbourne
Mr,Scott Buchholz,Wright
Mr,Simon Kennedy,Cook
Senator,Steph Hodgins-May,VIC
Mr,Steven Georganas,Adelaide
Ms,Sue Rudall,Senior Advisor to Rebekah Sharkie
Senator,Susan Lines,WA
Senator,Susan McDonald,QLD
Senator,Tammy Tyrrell,TAS
Mr,Terry Young,Longman
Mr,Thomas French,Moore
Mr,Thomas Venning,Grey
Senator,Timothy Ayres,NSW
Mr,Timothy Watts,Gellibrand
Mr,Timothy Wilson,Goldstein
Senator,Tyron Whitten,WA
Senator,Varun Ghosh,WA
Senator,Warwick Stacey,NSW
Senator,Wendy Askew,TAS
Senator,William Brockman,WA
Mr,Xian-Zhi Soon,Banks
Mr,Yaniv Bernstein,Violet
