Salutation,Fullname,State/Electorate
Ms,Mary Doyle,Aston
Ms,Catherine King,Ballarat
Mr,Jerome Laxale,Bennelong
Mr,Julian Leeser,Berowra
Mr,Shayne Neumann,Blair
Mr,Jason Clare,Blaxland
Ms,Louise Miller-Frost,Boothby
Ms,Anne Urquhart,Braddon
Ms,Madeleine King,Brand
Ms,Madonna Jarrett,Brisbane
Ms,Alicia Payne,Canberra
Ms,Michelle Landry,Capricornia
Ms,Gerardine Kearney,Cooper
Ms,Elizabeth Coker,Corangamite
Mr,Richard Marles,Corio
Dr,Anne Aly,Cowan
Ms,Alison Byrnes,Cunningham
Ms,Kate Chaney,Curtin
Ms,Allison France,Dickson
Ms,Emma McBride,Dobell
Ms,Jodie Belyea,Dunkley
Ms,Melissa Price,Durack
Ms,Kristy McBain,Eden-Monaro
Mr,Cameron Caldwell,Fadden
Ms,Sussan Ley,Farrer
Dr,Andrew Leigh,Fenner
Ms,Zoe McKenzie,Flinders
Ms,Dai Le,Fowler
Ms,Julie Collins,Franklin
Mrs,Fiona Phillips,Gilmore
Ms,Marion Alice Jordan-Baird,Gorton
Prime Minister,Anthony Albanese,Grayndler
Ms,Michelle Rowland,Greenway
Ms,Renee Coffey,Griffith
Ms,Tania Lawrence,Hasluck
Mr,Sam Rae,Hawke
Ms,Clare O'Neil,Hotham
Dr,Helen Haines,Indi
Mr,Mark Dreyfus,Isaacs
Hon,Kate Thwaites,Jagajaga
Mr,Robert Katter,Kennedy
Ms,Amanda Rishworth,Kingston
Dr,Monique Ryan,Kooyong
Dr,Joanne Ryan,Lalor
The Hon,Anika Wells,Lilley
Mrs,Melissa McIntosh,Lindsay
Ms,Marion Scrymgour,Lingiari
Ms,Alison Penfold,Lyne
Ms,Rebecca White,Lyons
Dr,Michael Freelander,Macarthur
Dr,Sophie Scamps,Mackellar
Ms,Susan Templeman,Macquarie
Ms,Joanna Briskey,Maribyrnong
Ms,Rebekha Sharkie,Mayo
Ms,Angie Bell,Moncrieff
Ms,Julie-Ann Campbell,Moreton
Ms,Sharon Claydon,Newcastle
Mr,Sam Birrell,Nicholls
Senator,Maria Kovacic,NSW
Ms,Tracey Roberts,Pearce
Dr,James Chalmers,Rankin
Ms,Sally Sitou,Reid
Dr,Gordon Reid,Robertson
Ms,Elizabeth Watson-Brown,Ryan
Ms,Claire Clutterham,Sturt
Ms,Zaneta Mascarenhas,Swan
Ms,Tanya Plibersek,Sydney
Mr,Sam Lim,Tangney
Senator,Richard Colbeck,TAS
Ms,Zali Steggall,Warringah
Ms,Allegra Spender,Wentworth
Ms,Anne Stanley,Werriwa
Ms,Carol Berry,Whitlam
